January 2018 ASP NDC - HCPCS Crosswalk for Medicare Part B Drugs,,,,,,,,,
"     Effective January 1, 2018 through March 31, 2018",,,,,,,,,
,,,,,,,,,
Note 1: This crosswalk is based on published drug and biological pricing data and information submitted to CMS by manufacturers. The information is intended to support ASP-based ,,,,,,,,,
Medicare Part B payments only. ,,,,,,,,,
Note 2: Please submit comments on the crosswalk to e-mail address: sec303aspdata@cms.hhs.gov. ,,,,,,,,,
,,,,,,,,,
_2018_CODE,Short Description,LABELER NAME,NDC2,Drug Name,HCPCS dosage,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
90714,Td vacc no presv 7 yrs+ im,sanofi pasteur,49281-0215-15,Tetanus-Diphtheria Toxoids Td,0.5 ML,0.5,10,1,10
90715,Tdap vaccine 7 yrs/> im,sanofi pasteur,49281-0400-10,ADACEL,0.5 ML,0.5,10,1,10
90715,Tdap vaccine 7 yrs/> im,sanofi pasteur,49281-0400-15,ADACEL,0.5 ML,0.5,5,1,5
90715,Tdap vaccine 7 yrs/> im,GlaxoSmithkline,58160-0842-11,BOOSTRIX,0.5 ML,0.5,10,1,10
90715,Tdap vaccine 7 yrs/> im,GlaxoSmithkline,58160-0842-52,BOOSTRIX,0.5 ML,0.5,10,1,10
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-01,Dotarem,0.1 ML,10,10,100,1000
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-02,Dotarem,0.1 ML,15,10,150,1500
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-03,Dotarem,0.1 ML,20,10,200,2000
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-04,Dotarem,0.1 ML,100,6,1000,6000
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-05,Dotarem,0.1 ML,10,5,100,500
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-06,Dotarem,0.1 ML,15,5,150,750
A9575,Inj gadoterate meglumi 0.1ml,Guerbet LLC,67684-2000-07,Dotarem,0.1 ML,20,5,200,1000
A9576,Inj prohance multipack,BRACCO DIAGNOSTICS,00270-1111-70,Prohance Multipack,1 ML,50,5,50,250
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-12,Multihance,1 ML,5,5,5,25
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-13,Multihance,1 ML,10,5,10,50
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-14,Multihance,1 ML,15,5,15,75
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-15,Multihance,1 ML,20,5,20,100
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-18,Multihance,1 ML,10,5,10,50
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-19,MULTIHANCE 5X15 ML SYRINGE,1 ML,15,5,15,75
A9577,Inj multihance,BRACCO DIAGNOSTICS,00270-5164-20,Multihance,1 ML,20,5,20,100
A9578,Inj multihance multipack,BRACCO DIAGNOSTICS,00270-5264-16,Multihance Multipack,1 ML,50,5,50,250
A9578,Inj multihance multipack,BRACCO DIAGNOSTICS,00270-5264-17,Multihance Multipack,1 ML,100,5,100,500
A9579,"Gad-base mr contrast nos,1ml",Liebel Flarsheim,00019-1177-02,Optimark,1 ML,5,10,5,50
A9579,"Gad-base mr contrast nos,1ml",Liebel Flarsheim,00019-1177-04,Optimark,1 ML,10,10,10,100
A9579,"Gad-base mr contrast nos,1ml",Liebel Flarsheim,00019-1177-06,Optimark,1 ML,15,10,15,150
A9579,"Gad-base mr contrast nos,1ml",Liebel Flarsheim,00019-1177-08,Optimark,1 ML,20,10,20,200
A9579,"Gad-base mr contrast nos,1ml",Liebel Flarsheim,00019-1177-11,Optimark,1 ML,10,10,10,100
A9579,"Gad-base mr contrast nos,1ml",Liebel Flarsheim,00019-1177-16,Optimark,1 ML,15,10,15,150
A9579,"Gad-base mr contrast nos,1ml",Liebel Flarsheim,00019-1177-21,Optimark,1 ML,20,10,20,200
A9579,"Gad-base mr contrast nos,1ml",Liebel Flarsheim,00019-1177-31,Optimark,1 ML,30,10,30,300
A9579,"Gad-base mr contrast nos,1ml",Liebel Flarsheim,00019-1177-50,Optimark,1 ML,50,5,50,250
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS,00270-1111-01,Prohance,1 ML,10,5,10,50
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS,00270-1111-02,Prohance,1 ML,15,5,15,75
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS,00270-1111-03,Prohance,1 ML,20,5,20,100
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS,00270-1111-04,Prohance,1 ML,5,5,5,25
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS,00270-1111-16,Prohance Prefilled Syringes,1 ML,10,5,10,50
A9579,"Gad-base mr contrast nos,1ml",BRACCO DIAGNOSTICS,00270-1111-45,Prohance Prefilled Syringes,1 ML,17,5,17,85
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-05,Omniscan,1 ML,5,10,5,50
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-10,Omniscan,1 ML,10,10,10,100
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-12,Omniscan,1 ML,10,10,10,100
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-15,Omniscan,1 ML,15,10,15,150
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-17,Omniscan,1 ML,15,10,15,150
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-20,Omniscan,1 ML,20,10,20,200
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-22,Omniscan,1 ML,20,10,20,200
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-30,NovaPlus® Omniscan,1 ML,10,10,10,100
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-40,NovaPlus® Omniscan,1 ML,15,10,15,150
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-42,NovaPlus® Omniscan,1 ML,15,10,15,150
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-43,NovaPlus® Omniscan,1 ML,20,10,20,200
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-50,NovaPlus® Omniscan,1 ML,20,10,20,200
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0690-70,Omniscan,1 ML,100,10,100,1000
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0691-62,Omniscan,1 ML,15,10,15,150
A9579,"Gad-base mr contrast nos,1ml",GE Healthcare,00407-0691-63,Omniscan,1 ML,20,10,20,200
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-01,Magnevist 46.9%,1 ML,10,20,10,200
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-02,Magnevist 46.9%,1 ML,20,20,20,400
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-05,Magnevist 46.9%,1 ML,5,20,5,100
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-11,Magnevist 46.9%,1 ML,100,10,100,1000
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-15,Magnevist 46.9%,1 ML,15,20,15,300
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-36,Magnevist 46.9%,1 ML,10,5,10,50
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-37,Magnevist 46.9%,1 ML,15,5,15,75
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-38,Magnevist 46.9%,1 ML,20,5,20,100
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-58,Magnevist 46.9%,1 ML,50,10,50,500
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-81,Magnevist 46.9%,1 ML,5,20,5,100
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-82,Magnevist 46.9%,1 ML,10,20,10,200
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-83,Magnevist 46.9%,1 ML,15,20,15,300
A9579,"Gad-base mr contrast nos,1ml",Bayer HealthCare Pharmaceuticals Inc.,50419-0188-84,Magnevist 46.9%,1 ML,20,20,20,400
A9581,Gadoxetate disodium inj,Bayer HealthCare Pharmaceuticals Inc.,50419-0320-05,Gadoxetate Disodium,1 ML,10,5,10,50
A9581,Gadoxetate disodium inj,Bayer HealthCare Pharmaceuticals Inc.,50419-0320-15,EOVIST,1 ML,15,5,15,75
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-11,GADAVIST,0.1 ML,7.5,20,75,1500
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-12,GADAVIST,0.1 ML,10,20,100,2000
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-13,GADAVIST,0.1 ML,15,20,150,3000
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-14,GADAVIST,0.1 ML,30,10,300,3000
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-15,GADAVIST,0.1 ML,65,10,650,6500
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-27,GADAVIST,0.1 ML,7.5,5,75,375
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-28,GADAVIST,0.1 ML,10,5,100,500
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-29,GADAVIST,0.1 ML,15,5,150,750
A9585,Gadobutrol injection,Bayer HealthCare Pharmaceuticals Inc.,50419-0325-37,GADAVIST,0.1 ML,2,15,20,300
J0129,Abatacept injection,Bristol-Myers Squibb Company,00003-2187-10,Abatacept,10 MG,1,1,25,25
J0129,Abatacept injection,Bristol-Myers Squibb Company,00003-2188-11,ORENCIA,10 MG,1,4,12.5,50
J0129,Abatacept injection,BRISTOL-MYERS SQUIBB CO.,00003-2188-51,ORENCIA CLICKJECT,10 MG,1,4,12.5,50
J0129,Abatacept injection,Bristol-Myers Squibb Company,00003-2814-11,ORENCIA ,10 MG,0.4,4,5,20
J0129,Abatacept injection,Bristol-Myers Squibb Company,00003-2818-11,ORENCIA ,10 MG,0.7,4,8.75,35
J0130,Abciximab injection,Eli Lilly and Company,00002-7140-01,Reopro,10 MG,5,1,1,1
J0130,Abciximab injection,"JANSSEN BIOTECH, INC.",57894-0200-01,Reopro,10 MG,5,1,1,1
J0132,Acetylcysteine injection,Perrigo Pharmaceuticals,00574-0805-30,Acetylcysteine,100 MG,30,4,60,240
J0132,Acetylcysteine injection,Perrigo Pharmaceuticals,00574-0815-30,ACETYLCYSTEINE INJECTION,100 MG,30,4,60,240
J0132,Acetylcysteine injection,Akorn,17478-0660-30,ACETYLCYSTEINE INJ,100 MG,30,4,60,240
J0132,Acetylcysteine injection,Fresenius Kabi USA LLC,63323-0963-30,ACETYLCYSTEINE,100 MG,30,4,60,240
J0132,Acetylcysteine injection,Cumberland Pharmaceuticals Inc,66220-0207-30,ACETADOTE,100 MG,30,4,60,240
J0133,Acyclovir injection,Fresenius Kabi USA LLC,63323-0325-10,Acyclovir Sodium,5 MG,20,10,100,1000
J0133,Acyclovir injection,Fresenius Kabi USA LLC,63323-0325-14,Acyclovir Sodium,5 MG,10,10,100,1000
J0133,Acyclovir injection,Fresenius Kabi USA LLC,63323-0325-20,Acyclovir Sodium,5 MG,20,10,200,2000
J0133,Acyclovir injection,Fresenius Kabi USA LLC,63323-0325-24,Acyclovir Sodium,5 MG,20,10,200,2000
J0153,Adenosine inj 1mg,"HOSPIRA, INC",00409-1932-01,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,"HOSPIRA, INC",00409-1932-02,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,"ASTELLAS PHARMA US, INC.",00469-0871-20,Adenoscan,1 MG,20,10,60,600
J0153,Adenosine inj 1mg,"ASTELLAS PHARMA US, INC.",00469-0871-30,Adenoscan,1 MG,30,10,90,900
J0153,Adenosine inj 1mg,"ASTELLAS PHARMA US, INC.",00469-8234-12,Adenocard,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,"ASTELLAS PHARMA US, INC.",00469-8234-14,Adenocard,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,"SICOR PHARMACEUTICALS, INC.",00703-8776-01,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,"SICOR PHARMACEUTICALS, INC.",00703-8777-01,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,Akorn,17478-0542-02,ADENOSINE,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,Akorn,17478-0542-25,Adenosine,1 MG,2,25,6,150
J0153,Adenosine inj 1mg,Akorn,17478-0544-20,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,Akorn,17478-0544-30,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0301-02,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0301-04,Adenosine,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0301-67,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0301-68,Adenosine,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0307-20,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0307-30,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0307-66,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,Sagent Pharmaceuticals Inc,25021-0307-67,Adenosine,1 MG,30,1,90,90
J0153,Adenosine inj 1mg,Fresenius Kabi USA LLC,63323-0651-02,Adenosine,1 MG,2,10,6,60
J0153,Adenosine inj 1mg,Fresenius Kabi USA LLC,63323-0651-04,Adenosine,1 MG,4,10,12,120
J0153,Adenosine inj 1mg,MYLAN INSTITUTIONAL LLC,67457-0856-20,Adenosine,1 MG,20,1,60,60
J0153,Adenosine inj 1mg,MYLAN INSTITUTIONAL LLC,67457-0857-30,Adenosine,1 MG,30,1,90,90
J0171,Adrenalin epinephrine inject,"HOSPIRA, INC",00409-7241-01,Epinephrine Hcl,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,"HOSPIRA, INC",00409-7241-25,Epinephrine HCl,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,"HOSPIRA, INC",00409-7241-61,Epinephrine Hcl,0.1 MG,1,800,10,8000
J0171,Adrenalin epinephrine inject,PAR STERILE PRODUCTS LLC,42023-0159-25,Adrenalin,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,PAR STERILE PRODUCTS LLC,42023-0168-01,Epinephrine Hcl,0.1 MG,30,1,300,300
J0171,Adrenalin epinephrine inject,A-S Medication Solutions,54569-1673-00,Epinephrine Hcl,0.1 MG,10,1,10,10
J0171,Adrenalin epinephrine inject,A-S Medication Solutions,54569-3075-00,Epinephrine Hcl,0.1 MG,1,25,10,250
J0171,Adrenalin epinephrine inject,A-S Medication Solutions,54569-3075-01,Epinephrine Hcl,0.1 MG,1,1,10,10
J0178,Aflibercept injection,"Regeneron Pharmaceuticals, Inc.",61755-0005-02,EYLEA,1 MG,0.05,1,2,2
J0180,Agalsidase beta injection,Genzyme Corporation,58468-0040-01,Fabrazyme,1 MG,1,1,35,35
J0180,Agalsidase beta injection,Genzyme Corporation,58468-0041-01,Fabrazyme,1 MG,1,1,5,5
J0202,"Injection, alemtuzumab",Genzyme Corporation,58468-0200-01,LEMTRADA,1 MG,1.2,1,12,12
J0207,Amifostine,Sun Pharmaceutical Global Fze.,47335-0581-40,Amifostine for Injection,500 MG,1,1,1,1
J0207,Amifostine,West-Ward Pharmaceuticals Corp,55390-0308-03,Amifostine for Injection,500 MG,1,3,1,3
J0207,Amifostine,Cumberland Pharmaceuticals Inc,66220-0017-03,Ethyol,500 MG,1,3,1,3
J0221,Lumizyme injection,Genzyme Corporation,58468-0160-01,Lumizyme,10 MG,1,1,5,5
J0221,Lumizyme injection,Genzyme Corporation,58468-0160-02,Lumizyme,10 MG,1,10,5,50
J0256,Alpha 1 proteinase inhibitor,CSL Behring,00053-7201-02,Zemaira,10 MG,1,1,0.1,0.1
J0256,Alpha 1 proteinase inhibitor,Baxalta US Inc.,00944-2802-02,Aralast NP,10 MG,1,1,0.1,0.1
J0256,Alpha 1 proteinase inhibitor,Baxalta US Inc.,00944-2814-01,Aralast NP,10 MG,1,1,0.1,0.1
J0256,Alpha 1 proteinase inhibitor,Baxalta US Inc.,00944-2815-01,Aralast NP,10 MG,1,1,0.1,0.1
J0256,Alpha 1 proteinase inhibitor,"Grifols USA, LLC.",13533-0700-02,Prolastin-C,10 MG,1,1,100,0.1
J0256,Alpha 1 proteinase inhibitor,"Grifols USA, LLC.",13533-0701-01,Prolastin-C,10 MG,1,1,100,0.1
J0256,Alpha 1 proteinase inhibitor,GRIFOLS USA,13533-0703-10,Prolastin-C,10 MG,1,1,100,0.1
J0257,Glassia injection,Baxalta US Inc.,00944-2884-01,GLASSIA             ,10 MG,1,1,0.1,0.1
J0278,Amikacin sulfate injection,West-Ward Pharmaceuticals Corp,00641-6166-10,Amikacin Sulfate,100 MG,4,10,10,100
J0278,Amikacin sulfate injection,West-Ward Pharmaceuticals Corp,00641-6167-10,Amikacin Sulfate,100 MG,2,10,5,50
J0278,Amikacin sulfate injection,"SICOR PHARMACEUTICALS, INC.",00703-9032-03,Amikacin Sulfate,100 MG,2,10,5,50
J0278,Amikacin sulfate injection,"SICOR PHARMACEUTICALS, INC.",00703-9040-03,Amikacin Sulfate,100 MG,4,10,10,100
J0278,Amikacin sulfate injection,"Heritage Pharmaceuticals, Inc.",23155-0290-41,Amikacin Sulfate,100 MG,2,10,5,50
J0278,Amikacin sulfate injection,"Heritage Pharmaceuticals, Inc.",23155-0290-42,Amikacin Sulfate,100 MG,4,10,10,100
J0278,Amikacin sulfate injection,"SAGENT PHARMACEUTICALS, INC.",25021-0173-02,Amikacin Sulfate,100 MG,2,10,5,50
J0278,Amikacin sulfate injection,"SAGENT PHARMACEUTICALS, INC.",25021-0173-04,Amikacin Sulfate,100 MG,4,10,10,100
J0278,Amikacin sulfate injection,Fresenius Kabi USA LLC,63323-0815-02,Amikacin Sulfate,100 MG,2,10,5,50
J0278,Amikacin sulfate injection,Fresenius Kabi USA LLC,63323-0815-04,Amikacin Sulfate,100 MG,4,10,10,100
J0280,Aminophyllin 250 mg inj,"HOSPIRA, INC",00409-5921-01,Aminophylline,250 MG,10,25,1,25
J0280,Aminophyllin 250 mg inj,"HOSPIRA, INC",00409-5921-10,NOVAPLUS AMINOPHYLLINE,250 MG,10,25,1,25
J0280,Aminophyllin 250 mg inj,"HOSPIRA, INC",00409-5922-01,Aminophylline,250 MG,20,25,2,50
J0285,Amphotericin b,"X-Gen Pharmaceuticals, Inc.",39822-1055-05,Amphotericin B,50 MG,1,1,1,1
J0287,Amphotericin b lipid complex,Sigma-Tau Pharmaceuticals,57665-0101-41,Abelcet,10 MG,20,1,10,10
J0289,Amphotericin b liposome inj,"ASTELLAS PHARMA US, INC.",00469-3051-30,Ambisome,10 MG,1,1,5,5
J0290,Ampicillin 500 mg inj,HOSPIRA,00409-3718-01,Ampicillin Sodium,500 MG,1,10,1,10
J0290,Ampicillin 500 mg inj,HOSPIRA,00409-3719-01,Ampicillin Sodium,500 MG,1,10,0.5,5
J0290,Ampicillin 500 mg inj,HOSPIRA,00409-3720-01,Ampicillin Sodium,500 MG,1,10,4,40
J0290,Ampicillin 500 mg inj,HOSPIRA,00409-3725-01,Ampicillin Sodium,500 MG,1,10,20,200
J0290,Ampicillin 500 mg inj,HOSPIRA,00409-3726-01,Ampicillin Sodium,500 MG,1,10,2,20
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-3400-95,Ampicillin Sodium,500 MG,1,10,0.25,2.5
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-3402-95,Ampicillin Sodium,500 MG,1,10,0.5,5
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-3404-95,Ampicillin Sodium,500 MG,1,10,2,20
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-3407-95,Ampicillin Sodium,500 MG,1,10,1,10
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-3408-95,Ampicillin Sodium,500 MG,1,10,4,40
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-3409-95,Ampicillin Sodium,500 MG,1,10,20,200
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-3412-92,Ampicillin Sodium,500 MG,1,10,2,20
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-3413-92,Ampicillin Sodium,500 MG,1,10,4,40
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9242-95,Ampicillin Sodium,500 MG,1,10,0.5,5
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9250-95,Ampicillin Sodium,500 MG,1,10,1,10
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9261-95,AMPICILLIN SODIUM,500 MG,1,10,2,20
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9273-95,AMPICILLIN SODIUM,500 MG,1,10,4,40
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9401-95,Ampicillin Sodium,500 MG,1,10,0.25,2.5
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9402-95,Ampicillin Sodium,500 MG,1,10,0.5,5
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9404-95,Ampicillin Sodium,500 MG,1,10,2,20
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9407-95,Ampicillin Sodium,500 MG,1,10,1,10
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9408-95,Ampicillin Sodium,500 MG,1,10,4,40
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9409-95,Ampicillin Sodium,500 MG,1,10,20,200
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9412-92,Ampicillin Sodium,500 MG,1,10,2,20
J0290,Ampicillin 500 mg inj,"Sandoz, Inc.",00781-9413-92,Ampicillin Sodium,500 MG,1,10,4,40
J0290,Ampicillin 500 mg inj,Sagent Pharmaceuticals Inc,25021-0134-10,Ampicillin Sodium,500 MG,1,10,0.5,5
J0290,Ampicillin 500 mg inj,Sagent Pharmaceuticals Inc,25021-0135-10,Ampicillin Sodium,500 MG,1,10,1,10
J0290,Ampicillin 500 mg inj,Sagent Pharmaceuticals Inc,25021-0136-10,AMPICILLIN SODIUM,500 MG,1,10,2,20
J0290,Ampicillin 500 mg inj,Sagent Pharmaceuticals Inc,25021-0137-20,AMPICILLIN SODIUM,500 MG,1,10,4,40
J0290,Ampicillin 500 mg inj,WG Critical Care,44567-0100-10,Ampicillin Sodium,500 MG,1,10,0.5,5
J0290,Ampicillin 500 mg inj,WG Critical Care,44567-0101-10,Ampicillin for Injection,500 MG,1,10,1,10
J0290,Ampicillin 500 mg inj,WG Critical Care,44567-0102-10,Ampicillin for Injection,500 MG,1,10,2,20
J0290,Ampicillin 500 mg inj,WG Critical Care,44567-0103-10,Ampicillin for Injection,500 MG,1,10,4,40
